nom,x,y
Cap Découverte,2.142713000000000,44.019849999999998
Cap Fréhel,-2.317531000000000,48.682741999999998
Captieux,-0.284223998768595,44.253821634713780
Carcassonne,2.343279505295237,43.209401480340709
Carhaix,-3.576052000000000,48.281537999999998
Carmaux,2.166522434037016,44.056287793560337
Carnon,3.974916000000000,43.546075999999999
Carpentras,5.061424274233580,44.059385468161182
Castelnau-Magnoac,0.515927507433242,43.295351894214448
Castelnaudary,1.960654324305630,43.323113324715280
Castelsarrasin,1.123959456144154,44.048733503408613
Castillon-la-Bataille,-0.027862099807724,44.862528242088715
Castres,3.253342810192359,49.800733823554680
Cauterets,-0.126758046159108,42.852132821909152
Cazères-sur-Garonne,1.085463000000000,43.205917999999997
Céret,2.752629922151201,42.474071702350429
